Address,x_coord,y_coord,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
1845 E 79TH ST ,1190057.87634,1852888.52896,604,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Wee Care Nursery and Kindergarden,1845 E 79th St ,,2214442,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2020 W ROOSEVELT RD ,1163077.16704,1894969.34995,1412,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING CAROLE ROBERTSON CENTER-2020,2020 W ROOSEVELT RD ,60608,2437300,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,NEAR WEST SIDE,,,,,Betty Lee,No,Yes,No,,,,,,,,,,
2252 S CENTRAL PARK AVE ,1152659.64857,1888575.89316,1417,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-DELONDIA MOTLEY,2252 S CENTRAL PARK AVE ,60623,5211600,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,SOUTH LAWNDALE,,,,,Jolene Martin,No,No,No,"5617PS(HS Collaboration with Childcare Homes), 5617IP(EHS Co",,,,,,,,,
7146 S ASHLAND AVE ,1166843.64311,1857126.33851,171,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - Little Hands,7146 S Ashland Ave ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
245 W 57TH ST ,1175433.98955,1867081.81754,1577,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS SHERWOOD, JESSIE",245 W 57TH ST ,60621,5350829,,,,,,,CHICAGO PUBLIC SCHOOLS,ENGLEWOOD,,,,,Alice Buzanis,Yes,No,No,,,,,,,,,,
10001 S WOODLAWN AVE ,1186996.20175,1838256.95489,513,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3858 S COTTAGE GROVE AVE ,1182056.38325,1879417.67402,1201,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Abraham Lincoln Center,3858 S Cottage Grove Ave ,,3736600,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1110 W BELMONT AVE ,1168288.91175,1921461.04439,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1919 W CULLERTON ST ,1163770.45641,1890344.4734,1178,CPS_Early_Childhood_Portal_scrape.csv, Gads Hill Center - Gads Hill Center/Cullerton,1919 W Cullerton St ,,2260963,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1631 E 71ST ST ,1188514.24081,1858138.93328,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
10001 S WOODLAWN AVE ,1186766.77917,1837929.43945,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2700 S WESTERN AVE ,1160541.54311,1886534.63851,489,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,,Early Head Start,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1935 W 51ST ST ,1164148.48973,1870765.31908,611,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - Vereva,1935 W 51st St ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
461 E 111TH ST ,1181553.16125,1831282.75118,753,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Roseland / CYC,461 E 111th St ,,4684405,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
11515 S THROOP ST ,1169807.14591,1828321.64624,1791,chapin_dfss_providers_2011_070212.csv,HULL HOUSE ASSOCIATION FCCH-VERNELL KENNEDY,11515 S THROOP ST ,60643,6609953,,,,,,,HULL HOUSE ASSOCIATION,WEST PULLMAN,,,,,,No,No,Yes,"6132IT(Child Care Home IT), 6132PS(Child Care Home PS), 6132",,,,,,,,,
500 S CENTRAL AVE ,1138969.37208,1897215.51507,142,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Columbus Park / Salvation Army,500 S Central Ave ,,9214162,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
3418 W 79TH ST ,1154956.67759,1852092.36384,1615,chapin_dfss_providers_2011_070212.csv,CHICAGO YOUTH CENTERS PATHWAYS TO LEARNING CC,3418 W 79TH ST ,60652,7765439,,,,,,,CHICAGO YOUTH CENTERS,ASHBURN,,,,,Carol Quinn,Yes,No,No,,,,,,,,,,
1139 W 79TH ST ,1169917.51936,1852351.0876,531,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Lotts of Love,1139 W 79th St ,,8744954,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1711 W 35TH ST ,1165462.45772,1881440.84378,44,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1012 N KEDVALE AVE ,1148457.64311,1906513.03851,477,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Maribella Rodriguez,1012 N Kedvale Ave ,,,,Early Head Start,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
5738 S KENNETH AVE ,1147611.25261,1866005.08452,153,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - Blanca Alatorre,5738 S KENNETH AVE ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
11640 S WENTWORTH AVE ,1176954.79404,1827596.38081,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4815 S KARLOV AVE ,1149942.235,1872281.10612,1502,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS EDWARDS, RICHARD",4815 S KARLOV AVE ,60632,5354875,,,,,,,CHICAGO PUBLIC SCHOOLS,ARCHER HEIGHTS,,,,,Mrs. Judith  Sauri,Yes,No,No,,,,,,,,,,
6330 S STONY ISLAND AVE ,1187707.49479,1863192.03513,810,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - South Side YMCA,6330 S Stony Island Ave ,,9470700,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
4800 S LAKE PARK AVE ,1186562.79281,1873309.69871,1606,chapin_dfss_providers_2011_070212.csv,CHICAGO YOUTH CENTERS CUDDLE CARE ACADEMY,4800 S LAKE PARK AVE ,60615,2851114,,,,,,,CHICAGO YOUTH CENTERS,KENWOOD,,,,,,Yes,No,No,,,,,,,,,,
3039 E 91ST ST ,1198292.25447,1845113.43637,687,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - South Chicago YMCA,3039 E 91st St ,,7219100,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
8130 S RACINE AVE ,1169645.26182,1850758.04131,182,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - New Pisgah,8130 S Racine Ave ,,8735392,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2929 S WABASH AVE ,1177313.62172,1885445.72649,89,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Near South / Henry Booth,2929 S Wabash Ave ,,7910424,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1701 W SUPERIOR ST ,1164833.78804,1904979.6339,1174,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3400 W 65TH PL ,1154671.50101,1861139.33452,1501,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS EBERHART, JOHN F.",3400 W 65TH PL ,60629,5359190,,,,,,,CHICAGO PUBLIC SCHOOLS,CHICAGO LAWN,,,,,Nneka Gunn,Yes,No,No,,,,,,,,,,
2140 W 79TH ST ,1163330.20828,1852343.92094,623,CPS_Early_Childhood_Portal_scrape.csv, First Church of Love And Faith - First Church of Love & Faith Church,2140 W 79th St ,,8739155,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
975 E 132ND ST ,1185348.36461,1817917.98575,892,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Dorothy Gautreaux / CYC,975 E 132nd St ,,2911000,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
4520 N BEACON ST ,1166241.60571,1930225.56291,749,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown West / Hull House,4520 N Beacon St ,,5613500,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2501 W 71ST ST ,1160891.35454,1857423.87773,1645,chapin_dfss_providers_2011_070212.csv,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO MOTHER'S TOUCH,2501 W 71ST ST ,60629,4363177,,,,,,,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO,CHICAGO LAWN,,,,,Ethel Daniels,Yes,No,No,,,,,,,,,,
1444 W AUGUSTA BLVD ,1166375.55703,1906880.07834,1560,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS PEABODY, ELIZABETH",1444 W AUGUSTA BLVD ,60622,5344170,,,,,,,CHICAGO PUBLIC SCHOOLS,WEST TOWN,,,,,Mr. Federico  Flores,Yes,No,No,,,,,,,,,,
2620 S LAWNDALE AVE ,1152037.99589,1886005.48884,1537,chapin_dfss_providers_2011_070212.csv,CHICAGO PUBLIC SCHOOLS LITTLE VILLAGE,2620 S LAWNDALE AVE ,60623,5341880,,,,,,,CHICAGO PUBLIC SCHOOLS,SOUTH LAWNDALE,,,,,Elsa Carmona,Yes,No,No,,,,,,,,,,
518 W 103RD ST ,1174570.80552,1836672.60921,1649,chapin_dfss_providers_2011_070212.csv,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO WHIZ KIDS NURSERY CENTER,518 W 103RD ST ,60628,2339445,,,,,,,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO,WASHINGTON HEIGHTS,,,,,Diana Ross,No,Yes,No,,,,,,,,,,
3826 W 58TH ST ,1151854.79482,1866080.97958,1561,chapin_dfss_providers_2011_070212.csv,CHICAGO PUBLIC SCHOOLS PECK SCHOOL,3826 W 58TH ST ,60629,5352450,,,,,,,CHICAGO PUBLIC SCHOOLS,WEST ELSDON,,,,,Okab Hassan,Yes,No,No,,,,,,,,,,
857 E PERSHING RD ,1182831.84507,1879483.0197,870,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - North Kenwood Day Care Center,857 E Pershing Rd ,,2682223,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
138 W 109TH ST ,1177132.24024,1832776.66785,1534,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS LAVIZZO, MILDRED I.",138 W 109TH ST ,60628,5355300,,,,,,,CHICAGO PUBLIC SCHOOLS,ROSELAND,,,,,Mrs.Tracey Stelly,Yes,No,No,,,,,,,,,,
1531 W LAWRENCE AVE ,1165027.75817,1931822.87773,576,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Lakeview Development Center,1531 W Lawrence Ave ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3344 W 79TH ST ,1155183.87199,1852128.58452,2134,DFSS_AgencySiteLies_2012.csv,Easter Seals Society of Metropolitan Chicago Lordanchild Daycare,3344 W 79th St ,60652,4344918,,,,,,,Easter Seals Society of Metropolitan Chicago,,,,,,,,,,,www.easterseaslchicago.org,Barbara Zawacki,Quentin Donald ,,,,,,
1013 N MONITOR AVE ,1137239.98257,1906232.86538,1810,chapin_dfss_providers_2011_070212.csv,MARCY NEWBERRY ASSOCIATION FCCH-IDERIA HOWARD,1013 N MONITOR AVE ,60644,2612115,,,,,,,MARCY NEWBERRY ASSOCIATION,AUSTIN,,,,,Celia Wills,No,Yes,No,"6119IP(EHS Collaboration Enhanced Home IP), 6122IT(Child Car",,,,,,,,,
5401 S WENTWORTH AVE ,1175951.02307,1869122.67711,149,CPS_Early_Childhood_Portal_scrape.csv, Firman Community Services - Firman House South,5401 S Wentworth Ave ,,4513400,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4958 S RACINE AVE ,1169035.11364,1871673.96106,1429,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-PATRICIA HERNANDEZ,4958 S RACINE AVE ,60609,5381198,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,NEW CITY,,,,,Jolene Martin,Yes,No,No,"5958PS(HS Collaboration with Childcare Homes), 5958IP(EHS Co",,,,,,,,,
4119 W 16TH ST ,1149076.86001,1891658.68945,1788,chapin_dfss_providers_2011_070212.csv,HULL HOUSE ASSOCIATION FCCH-SHERISSE HOLMES,4119 W 16TH ST ,60623,2355342,,,,,,,HULL HOUSE ASSOCIATION,NORTH LAWNDALE,,,,,Etisha Wofford,No,Yes,No,"5737IP(EHS Collaboration Enhanced Home IP), 5945IT(Child Car",,,,,,,,,
1449 S KEELER AVE ,1148719.95695,1892457.81291,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
645 W 127TH ST ,1174190.55608,1820592.70489,816,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Granny's Day Care,645 w 127th st ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
6512 S HALSTED ST ,1172017.33527,1861587.36538,1824,chapin_dfss_providers_2011_070212.csv,MARY CRANE LEAGUE CHILDREN'S LEARN AND PLAY,6512 S HALSTED ST ,60621,,,,,,,,MARY CRANE LEAGUE,ENGLEWOOD,,,,,,Yes,No,No,,,,,,,,,,
1 N OGDEN AVE ,1166181.16297,1900193.72803,509,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
10612 S WENTWORTH AVE ,1176755.64311,1834480.43851,526,CPS_Early_Childhood_Portal_scrape.csv, Community Learning Center - Community Learning Center,10612 S Wentworth Ave ,,9284104,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
5116 S PRAIRIE AVE ,1178802.94311,1871059.13851,505,CPS_Early_Childhood_Portal_scrape.csv, YWCA of Metropolitan Chicago - Debra Phillips,5116 S Prairie AVE ,,,,Early Head Start,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1633 N HAMLIN AVE ,1150862.78018,1910785.76044,585,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
707 E 37TH ST ,1181933.19525,1880563.61847,1301,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Donoghue,707 E 37th St ,,,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
500 E 67TH ST ,1180820.78954,1860810.92094,1286,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Parkway Community Center / Hull House,500 E 67th St ,,4931306,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
4747 S BISHOP ST ,1167574.18579,1873190.22958,1518,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS HAMLINE, JOHN H",4747 S BISHOP ST ,60609,5354565,,,,,,,CHICAGO PUBLIC SCHOOLS,NEW CITY,,,,,Valerie Brown,Yes,No,No,,,,,,,,,,
329 N LONG AVE ,1140377.94953,1901805.20797,1849,chapin_dfss_providers_2011_070212.csv,NORTH AVENUE DAY NURSERY FCCH-SONYA HARRIS,329 N LONG AVE ,60644,6269894,,,,,,,NORTH AVENUE DAY NURSERY,AUSTIN,,,,,,No,No,No,"5917IP(EHS Collaboration Enhanced Home IP), 5921IT(Child Car",,,,,,,,,
532 W 95TH ST ,1174150.47393,1842006.28822,1889,chapin_dfss_providers_2011_070212.csv,TRINITY UNITED CHURCH OF CHRIST TRINITY UCC,532 W 95TH ST ,60628,,,,,,,,TRINITY UNITED CHURCH OF CHRIST,WASHINGTON HEIGHTS,,,,,Ekoi Florence,Yes,No,Yes,"2527IT(Child Care IT Center), 4311PS(HS Collaboration with C",,,,,,,,,
5018 W DRUMMOND PL ,1142371.90898,1917232.6555,1695,chapin_dfss_providers_2011_070212.csv,ERIE NEIGHBORHOOD HOUSE FCCH-MARISELA MARTINEZ SITE,5018 W DRUMMOND PL ,60639,4322213,,,,,,,ERIE NEIGHBORHOOD HOUSE,BELMONT CRAGIN,,,,,Cythnia Suarez,No,Yes,No,"6111IP(EHS Collaboration Enhanced Home IP), 5693IT(Child Car",,,,,,,,,
5445 W NORTH AVE ,1139637.51381,1910011.82217,788,CPS_Early_Childhood_Portal_scrape.csv, Onward Neighborhood House - New Beginnings,5445 W North Ave ,,3855365,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
7973 S KOLIN AVE ,1148798.02042,1851049.08452,1427,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-MICHELLE PADILLA,7973 S KOLIN AVE ,60652,5211600,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,ASHBURN,,,,,Jolene Martin,Yes,No,No,"5899PS(HS Collaboration with Childcare Homes), 5899IP(EHS Co",,,,,,,,,
3448 W 59TH ST ,1154198.17347,1865344.75118,1651,chapin_dfss_providers_2011_070212.csv,EL HOGAR DEL NINO FCCH-ISABEL GUITERREZ,3448 W 59TH ST ,60623,4987085,,,,,,,EL HOGAR DEL NINO,GAGE PARK,,,,,,Yes,Yes,No,"5863PS(HS Collaboration with Childcare Homes), 5656IP(EHS Co",,,,,,,,,
2718 W 59TH ST ,1159117.3013,1865491.64316,84,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - The Keeper's Inst.,2718 W 59th St ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
6657 S KIMBARK AVE ,1185877.43194,1860957.02433,2085,DFSS_AgencySiteLies_2012.csv,Chicago Public Schools Woodlawn Community School,6657 S Kimbark Ave ,60637,5350801,,,,,,,Chicago Public Schools,,,,,,,,,,,www.cps.edu,Paula Cottone,Frank Embil,,,,,,
8046 S WESTERN AVE ,1161678.86441,1851029.70797,2149,DFSS_AgencySiteLies_2012.csv,El Valor Little Brown Bear Pre-School,8046 S Western Ave ,60620,4343500,,,,,,,El Valor,,,,,,,,,,,www.elvalor.org,Vincent Allocco,Deborah Broyles ,,,,,,
3740 W 31ST ST ,1151719.73208,1884135.00118,1511,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS GARY, JOSEPH E.",3740 W 31ST ST ,60623,5341455,,,,,,,CHICAGO PUBLIC SCHOOLS,SOUTH LAWNDALE,,,,,Mr. Alberto  Juarez,Yes,No,No,,,,,,,,,,
1951 W 19TH ST ,1163455.75183,1890667.96723,58,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St ,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2701 W 79TH ST ,1159699.9823,1852042.72958,1720,chapin_dfss_providers_2011_070212.csv,GADS HILL CENTER HUNT'S EARLY CHILDHOOD EDUCATIONAL ACADEMY,2701 W 79TH ST ,60652,8638260,,,,,,,GADS HILL CENTER,ASHBURN,,,,,Sallie Hunt,Yes,No,No,,,,,,,,,,
11725 S PERRY AVE ,1177787.04929,1827115.87155,1579,chapin_dfss_providers_2011_070212.csv,CHICAGO PUBLIC SCHOOLS SONGHAI LEARNING INSTITUTE,11725 S PERRY AVE ,60628,5355547,,,,,,,CHICAGO PUBLIC SCHOOLS,WEST PULLMAN,,,,,Ms. Taliva A. Tillman,Yes,No,No,,,,,,,,,,
1912 W 103RD ST ,1165462.05546,1836465.55057,1404,chapin_dfss_providers_2011_070212.csv,BEACON THERAPEUTIC BEACON THERAPEUTIC,1912 W 103RD ST ,60643,2981243,,,,,,,BEACON THERAPEUTIC,BEVERLY,,,,,Susan Reyna-Guerrero,No,Yes,No,,,,,,,,,,
1405 N WASHTENAW AVE ,1158254.08326,1909260.1339,1679,chapin_dfss_providers_2011_070212.csv,ERIE NEIGHBORHOOD HOUSE CHARTER SCHOOL,1405 N WASHTENAW AVE ,60622,,,,,,,,ERIE NEIGHBORHOOD HOUSE,WEST TOWN,,,,,,No,No,No,,,,,,,,,,
6800 S WENTWORTH AVE ,1176107.31154,1859774.16168,164,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Kennedy-King College,6800 S Wentworth Ave ,,5533475,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1312 W 95TH ST ,1169162.22311,1841852.34069,1869,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY FCCH-ALLIE WINFIELD,1312 W 95TH ST ,60643,2382079,,,,,,,SALVATION ARMY,WASHINGTON HEIGHTS,,,,,Kelli Kemp,No,No,No,"6108IP(EHS Collaboration Enhanced Home IP), 6108IT(EHS Enhan",,,,,,,,,
1354 W 61ST ST ,1168094.43646,1864396.96106,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
7222 S EXCHANGE AVE ,1193937.84252,1857427.85303,172,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Howard,7222 S Exchange Ave ,,2219711,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1711 W GARFIELD BLVD ,1165817.44311,1868023.23851,46,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - Pilsen,1711 W Garfield Blvd ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2814 W MARQUETTE RD ,1158673.62831,1860161.26661,668,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Whiz Kidz Learning Center,2814 W Marquette Rd ,,9252859,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
